Sun Aug  2 16:52:21 2026    evidence\experiments\2026-08-02T135159Z_program11_inmemory_profile.prof

         800148 function calls (760133 primitive calls) in 22.459 seconds

   Ordered by: cumulative time
   List reduced from 86 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.004    0.004   22.578   22.578 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:36(run_benchmarks)
        1    0.001    0.001   22.574   22.574 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:48(_benchmark_in_memory)
        1    0.481    0.481   22.573   22.573 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:75(_benchmark_store)
        1    0.762    0.762   15.218   15.218 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:30(replay)
        1    1.423    1.423   13.889   13.889 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:51(_replay_workflows)
    13335   10.442    0.001   10.897    0.001 {built-in method builtins.sorted}
    20000    6.244    0.000    6.253    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:73(children)
    10001    0.091    0.000    3.487    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:64(verify)
        1    0.019    0.019    3.237    3.237 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\graph.py:29(descendants)
    10000    0.011    0.000    3.207    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\graph.py:15(children)
    10001    0.037    0.000    3.115    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:171(verify_non_silent_conflict)
    13332    1.948    0.000    1.948    0.000 {method 'update' of 'set' objects}
        1    0.043    0.043    0.542    0.542 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:76(_replay_coordination)
     3333    0.455    0.000    0.455    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:88(<genexpr>)
        1    0.025    0.025    0.132    0.132 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:134(_make_seed_records)
    10001    0.021    0.000    0.101    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:270(verify_payload_shape)
    70001    0.089    0.000    0.089    0.000 {method 'get' of 'dict' objects}
    10002    0.043    0.000    0.080    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\record.py:41(__post_init__)
    10000    0.005    0.000    0.061    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:46(<lambda>)
120023/100021    0.020    0.000    0.056    0.000 {built-in method builtins.isinstance}
    10001    0.009    0.000    0.056    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:50(_require_keys)
   143342    0.044    0.000    0.044    0.000 {method 'append' of 'list' objects}
    10001    0.007    0.000    0.040    0.000 C:\Users\josep\AppData\Local\Programs\Python\Python313\Lib\typing.py:1389(__instancecheck__)
30006/10002    0.027    0.000    0.037    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\record.py:17(_freeze)
    10001    0.007    0.000    0.033    0.000 C:\Users\josep\AppData\Local\Programs\Python\Python313\Lib\typing.py:1685(__subclasscheck__)
    39996    0.030    0.000    0.030    0.000 {method 'add' of 'set' objects}
    10001    0.015    0.000    0.025    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:125(verify_causality)
    10001    0.011    0.000    0.023    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:245(verify_schema)
    10001    0.006    0.000    0.023    0.000 {built-in method builtins.issubclass}
    10001    0.010    0.000    0.022    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:115(verify_immutability)


