Sun Aug  2 18:42:40 2026    evidence\experiments\2026-08-02T154239Z_program11_inmemory_profile.prof

         416882 function calls (396869 primitive calls) in 0.365 seconds

   Ordered by: cumulative time
   List reduced from 93 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.004    0.004    0.387    0.387 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:36(run_benchmarks)
        1    0.000    0.000    0.383    0.383 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:48(_benchmark_in_memory)
        1    0.011    0.011    0.383    0.383 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:75(_benchmark_store)
        1    0.000    0.000    0.162    0.162 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:43(replay)
        1    0.025    0.025    0.109    0.109 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:134(_make_seed_records)
        1    0.033    0.033    0.067    0.067 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:124(_replay_coordination)
        1    0.000    0.000    0.063    0.063 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:65(_replay_workflows)
        1    0.020    0.020    0.063    0.063 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:79(_replay_workflows_direct)
    10002    0.016    0.000    0.057    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\record.py:41(__post_init__)
    10000    0.033    0.000    0.045    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:61(append)
    10000    0.031    0.000    0.043    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:82(child_ids)
30006/10002    0.030    0.000    0.041    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\record.py:17(_freeze)
        1    0.009    0.009    0.029    0.029 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\graph.py:29(descendants)
    10001    0.009    0.000    0.025    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:74(verify)
    33342    0.024    0.000    0.024    0.000 {method 'get' of 'dict' objects}
    53350    0.021    0.000    0.021    0.000 {method 'append' of 'list' objects}
        1    0.011    0.011    0.018    0.018 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:59(_replay_identities)
    10000    0.004    0.000    0.015    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\graph.py:15(children)
        1    0.000    0.000    0.011    0.011 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:121(_replay_reputation)
        1    0.000    0.000    0.011    0.011 C:\Users\josep\AppData\Local\Programs\Python\Python313\Lib\collections\__init__.py:599(__init__)
        1    0.000    0.000    0.011    0.011 C:\Users\josep\AppData\Local\Programs\Python\Python313\Lib\collections\__init__.py:673(update)
     3335    0.010    0.000    0.011    0.000 {built-in method builtins.sorted}
        1    0.009    0.009    0.011    0.011 {built-in method _collections._count_elements}
    10000    0.007    0.000    0.011    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:78(children)
   100025    0.011    0.000    0.011    0.000 {built-in method builtins.isinstance}
     3333    0.010    0.000    0.010    0.000 {method 'update' of 'set' objects}
    29997    0.007    0.000    0.007    0.000 {method 'setdefault' of 'dict' objects}
    10003    0.004    0.000    0.007    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:358(_store_revision)
        3    0.005    0.002    0.005    0.002 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:93(all)
        2    0.002    0.001    0.005    0.002 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:225(verify_authorization)


