Sun Aug  2 18:47:42 2026    evidence\experiments\2026-08-02T154742Z_program11_inmemory_profile.prof

         326866 function calls (306853 primitive calls) in 0.315 seconds

   Ordered by: cumulative time
   List reduced from 92 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.004    0.004    0.337    0.337 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:36(run_benchmarks)
        1    0.000    0.000    0.333    0.333 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:48(_benchmark_in_memory)
        1    0.010    0.010    0.333    0.333 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:75(_benchmark_store)
        1    0.000    0.000    0.130    0.130 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:45(replay)
        1    0.025    0.025    0.091    0.091 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:134(_make_seed_records)
        1    0.031    0.031    0.066    0.066 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:133(_replay_coordination)
    10000    0.038    0.000    0.049    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:61(append)
    10002    0.013    0.000    0.038    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\record.py:49(__post_init__)
        1    0.000    0.000    0.036    0.036 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:67(_replay_workflows)
        1    0.017    0.017    0.036    0.036 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:81(_replay_workflows_direct)
        1    0.009    0.009    0.028    0.028 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\graph.py:29(descendants)
    63339    0.027    0.000    0.027    0.000 {method 'get' of 'dict' objects}
30006/10002    0.024    0.000    0.025    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\record.py:20(_freeze)
    10001    0.008    0.000    0.023    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:74(verify)
    53350    0.021    0.000    0.021    0.000 {method 'append' of 'list' objects}
    10000    0.010    0.000    0.019    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:98(child_ids_view)
        1    0.009    0.009    0.017    0.017 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:61(_replay_identities)
    10000    0.004    0.000    0.014    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\graph.py:15(children)
     3335    0.010    0.000    0.011    0.000 {built-in method builtins.sorted}
     3333    0.010    0.000    0.010    0.000 {method 'update' of 'set' objects}
        1    0.000    0.000    0.010    0.010 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:130(_replay_reputation)
        1    0.000    0.000    0.010    0.010 C:\Users\josep\AppData\Local\Programs\Python\Python313\Lib\collections\__init__.py:599(__init__)
        1    0.000    0.000    0.010    0.010 C:\Users\josep\AppData\Local\Programs\Python\Python313\Lib\collections\__init__.py:673(update)
        1    0.008    0.008    0.010    0.010 {built-in method _collections._count_elements}
    10000    0.006    0.000    0.010    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:91(children)
    10003    0.004    0.000    0.006    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:358(_store_revision)
    10002    0.004    0.000    0.004    0.000 {built-in method now}
        2    0.001    0.001    0.004    0.002 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:225(verify_authorization)
        3    0.004    0.001    0.004    0.001 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:109(all)
    10001    0.002    0.000    0.002    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:131(<genexpr>)


