Sun Aug  2 16:04:02 2026    evidence\experiments\2026-08-02T130402Z_program11_inmemory_profile.prof

         80148 function calls (76133 primitive calls) in 0.207 seconds

   Ordered by: cumulative time
   List reduced from 86 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.217    0.217 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:36(run_benchmarks)
        1    0.000    0.000    0.217    0.217 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:48(_benchmark_in_memory)
        1    0.003    0.003    0.217    0.217 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:75(_benchmark_store)
        1    0.005    0.005    0.123    0.123 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:30(replay)
        1    0.023    0.023    0.105    0.105 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:51(_replay_workflows)
     1335    0.056    0.000    0.060    0.000 {built-in method builtins.sorted}
     1001    0.007    0.000    0.055    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:64(verify)
     2000    0.045    0.000    0.045    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:73(children)
     1001    0.002    0.000    0.026    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:171(verify_non_silent_conflict)
        1    0.001    0.001    0.023    0.023 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\graph.py:29(descendants)
     1000    0.000    0.000    0.022    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\graph.py:15(children)
     1332    0.020    0.000    0.020    0.000 {method 'update' of 'set' objects}
        1    0.004    0.004    0.012    0.012 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:76(_replay_coordination)
        1    0.002    0.002    0.010    0.010 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:134(_make_seed_records)
     1001    0.001    0.000    0.007    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:270(verify_payload_shape)
     7001    0.006    0.000    0.006    0.000 {method 'get' of 'dict' objects}
     1002    0.001    0.000    0.005    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\record.py:41(__post_init__)
      333    0.004    0.000    0.004    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:88(<genexpr>)
12023/10021    0.002    0.000    0.004    0.000 {built-in method builtins.isinstance}
     1000    0.000    0.000    0.004    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:46(<lambda>)
    14342    0.004    0.000    0.004    0.000 {method 'append' of 'list' objects}
     1001    0.001    0.000    0.004    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:50(_require_keys)
3006/1002    0.002    0.000    0.003    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\record.py:17(_freeze)
     1001    0.000    0.000    0.003    0.000 C:\Users\josep\AppData\Local\Programs\Python\Python313\Lib\typing.py:1389(__instancecheck__)
     3996    0.002    0.000    0.002    0.000 {method 'add' of 'set' objects}
     1001    0.001    0.000    0.002    0.000 C:\Users\josep\AppData\Local\Programs\Python\Python313\Lib\typing.py:1685(__subclasscheck__)
     1001    0.001    0.000    0.002    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:125(verify_causality)
     1001    0.001    0.000    0.002    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:151(verify_closure)
     1001    0.001    0.000    0.002    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:115(verify_immutability)
     1001    0.001    0.000    0.002    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:258(verify_signature)


