Sun Aug  2 18:45:17 2026    evidence\experiments\2026-08-02T154517Z_program11_inmemory_profile.prof

         326864 function calls (306851 primitive calls) in 0.339 seconds

   Ordered by: cumulative time
   List reduced from 93 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003    0.361    0.361 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:36(run_benchmarks)
        1    0.000    0.000    0.358    0.358 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:48(_benchmark_in_memory)
        1    0.012    0.012    0.358    0.358 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:75(_benchmark_store)
        1    0.000    0.000    0.167    0.167 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:43(replay)
        1    0.026    0.026    0.089    0.089 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:134(_make_seed_records)
        1    0.035    0.035    0.074    0.074 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:124(_replay_coordination)
        1    0.000    0.000    0.064    0.064 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:65(_replay_workflows)
        1    0.021    0.021    0.064    0.064 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:79(_replay_workflows_direct)
    10000    0.031    0.000    0.043    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:82(child_ids)
    10000    0.031    0.000    0.043    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:61(append)
    10002    0.013    0.000    0.036    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\record.py:49(__post_init__)
        1    0.008    0.008    0.026    0.026 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\graph.py:29(descendants)
    33342    0.024    0.000    0.024    0.000 {method 'get' of 'dict' objects}
30006/10002    0.021    0.000    0.023    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\record.py:20(_freeze)
    53350    0.021    0.000    0.021    0.000 {method 'append' of 'list' objects}
    10001    0.008    0.000    0.020    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:74(verify)
        1    0.009    0.009    0.015    0.015 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:59(_replay_identities)
    10000    0.004    0.000    0.013    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\graph.py:15(children)
     3335    0.011    0.000    0.012    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.012    0.012 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:121(_replay_reputation)
     3333    0.012    0.000    0.012    0.000 {method 'update' of 'set' objects}
        1    0.000    0.000    0.012    0.012 C:\Users\josep\AppData\Local\Programs\Python\Python313\Lib\collections\__init__.py:599(__init__)
        1    0.000    0.000    0.012    0.012 C:\Users\josep\AppData\Local\Programs\Python\Python313\Lib\collections\__init__.py:673(update)
        1    0.009    0.009    0.012    0.012 {built-in method _collections._count_elements}
    10000    0.006    0.000    0.009    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:78(children)
    29997    0.007    0.000    0.007    0.000 {method 'setdefault' of 'dict' objects}
    10003    0.004    0.000    0.006    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:358(_store_revision)
    10002    0.004    0.000    0.004    0.000 {built-in method now}
    10001    0.002    0.000    0.002    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:122(<genexpr>)
        3    0.002    0.001    0.002    0.001 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:93(all)


