Sun Aug  2 18:11:58 2026    evidence\experiments\2026-08-02T151157Z_program11_inmemory_profile.prof

         740152 function calls (700137 primitive calls) in 1.188 seconds

   Ordered by: cumulative time
   List reduced from 87 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.005    0.005    1.304    1.304 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:36(run_benchmarks)
        1    0.000    0.000    1.299    1.299 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:48(_benchmark_in_memory)
        1    0.015    0.015    1.299    1.299 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:75(_benchmark_store)
        1    0.001    0.001    0.769    0.769 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:41(replay)
        1    0.049    0.049    0.612    0.612 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:115(_replay_coordination)
     3335    0.021    0.000    0.535    0.000 {built-in method builtins.sorted}
     3333    0.514    0.000    0.514    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:127(<genexpr>)
    10001    0.074    0.000    0.345    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:64(verify)
        1    0.005    0.005    0.128    0.128 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:63(_replay_workflows)
        1    0.029    0.029    0.126    0.126 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:134(_make_seed_records)
        1    0.093    0.093    0.123    0.123 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:77(_replay_workflows_direct)
    10001    0.015    0.000    0.075    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:270(verify_payload_shape)
    10002    0.019    0.000    0.065    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\record.py:41(__post_init__)
   153340    0.048    0.000    0.048    0.000 {method 'append' of 'list' objects}
30006/10002    0.033    0.000    0.046    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\record.py:17(_freeze)
120023/100021    0.019    0.000    0.045    0.000 {built-in method builtins.isinstance}
    10000    0.004    0.000    0.043    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:46(<lambda>)
    10001    0.006    0.000    0.039    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:50(_require_keys)
    10001    0.018    0.000    0.038    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:171(verify_non_silent_conflict)
    10001    0.005    0.000    0.029    0.000 C:\Users\josep\AppData\Local\Programs\Python\Python313\Lib\typing.py:1389(__instancecheck__)
    50002    0.028    0.000    0.028    0.000 {method 'get' of 'dict' objects}
        1    0.008    0.008    0.027    0.027 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\graph.py:29(descendants)
    10001    0.006    0.000    0.024    0.000 C:\Users\josep\AppData\Local\Programs\Python\Python313\Lib\typing.py:1685(__subclasscheck__)
    10001    0.012    0.000    0.022    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:125(verify_causality)
    10001    0.011    0.000    0.021    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:151(verify_closure)
    10001    0.008    0.000    0.019    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:115(verify_immutability)
    10001    0.008    0.000    0.019    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:245(verify_schema)
    10001    0.008    0.000    0.019    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:258(verify_signature)
    20000    0.012    0.000    0.017    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:73(children)
    10000    0.011    0.000    0.017    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:59(append)


