Sun Aug  2 18:51:40 2026    evidence\experiments\2026-08-02T155139Z_program11_inmemory_profile.prof

         323534 function calls (303521 primitive calls) in 0.285 seconds

   Ordered by: cumulative time
   List reduced from 90 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.003    0.003    0.307    0.307 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:36(run_benchmarks)
        1    0.000    0.000    0.303    0.303 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:48(_benchmark_in_memory)
        1    0.013    0.013    0.303    0.303 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:75(_benchmark_store)
        1    0.000    0.000    0.097    0.097 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:51(replay)
        1    0.025    0.025    0.089    0.089 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:134(_make_seed_records)
    10000    0.041    0.000    0.052    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:61(append)
        1    0.000    0.000    0.036    0.036 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:73(_replay_workflows)
        1    0.017    0.017    0.035    0.035 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:87(_replay_workflows_direct)
    10002    0.013    0.000    0.035    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\record.py:49(__post_init__)
        1    0.018    0.018    0.034    0.034 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:139(_replay_coordination)
    66672    0.027    0.000    0.027    0.000 {method 'get' of 'dict' objects}
        1    0.009    0.009    0.026    0.026 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\graph.py:29(descendants)
    10001    0.009    0.000    0.023    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:74(verify)
30006/10002    0.021    0.000    0.022    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\record.py:20(_freeze)
    53350    0.019    0.000    0.019    0.000 {method 'append' of 'list' objects}
    10000    0.010    0.000    0.019    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:98(child_ids_view)
        1    0.009    0.009    0.015    0.015 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:67(_replay_identities)
    10000    0.004    0.000    0.013    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\graph.py:15(children)
     3333    0.005    0.000    0.011    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:105(child_ids_of_type)
    10000    0.005    0.000    0.009    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:91(children)
        1    0.000    0.000    0.009    0.009 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:136(_replay_reputation)
        1    0.000    0.000    0.009    0.009 C:\Users\josep\AppData\Local\Programs\Python\Python313\Lib\collections\__init__.py:599(__init__)
        1    0.000    0.000    0.008    0.008 C:\Users\josep\AppData\Local\Programs\Python\Python313\Lib\collections\__init__.py:673(update)
        1    0.007    0.007    0.008    0.008 {built-in method _collections._count_elements}
    10003    0.005    0.000    0.007    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:358(_store_revision)
        3    0.005    0.002    0.005    0.002 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:112(all)
    10002    0.004    0.000    0.004    0.000 {built-in method now}
        1    0.000    0.000    0.003    0.003 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\query.py:13(query)
        1    0.000    0.000    0.003    0.003 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:115(query)
     9999    0.002    0.000    0.002    0.000 {method 'add' of 'set' objects}


