Sun Aug  2 18:38:00 2026    evidence\experiments\2026-08-02T153800Z_program11_inmemory_profile.prof

         416879 function calls (396866 primitive calls) in 0.418 seconds

   Ordered by: cumulative time
   List reduced from 92 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.005    0.005    0.440    0.440 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:36(run_benchmarks)
        1    0.000    0.000    0.436    0.436 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:48(_benchmark_in_memory)
        1    0.011    0.011    0.435    0.435 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:75(_benchmark_store)
        1    0.000    0.000    0.230    0.230 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:41(replay)
        1    0.005    0.005    0.129    0.129 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:63(_replay_workflows)
        1    0.094    0.094    0.124    0.124 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:77(_replay_workflows_direct)
        1    0.027    0.027    0.114    0.114 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:134(_make_seed_records)
        1    0.036    0.036    0.074    0.074 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:115(_replay_coordination)
    10002    0.017    0.000    0.059    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\record.py:41(__post_init__)
30006/10002    0.030    0.000    0.041    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\record.py:17(_freeze)
    63349    0.032    0.000    0.032    0.000 {method 'append' of 'list' objects}
    10000    0.020    0.000    0.032    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:61(append)
    33342    0.031    0.000    0.031    0.000 {method 'get' of 'dict' objects}
        1    0.008    0.008    0.027    0.027 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\graph.py:29(descendants)
    10001    0.008    0.000    0.021    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:74(verify)
        1    0.009    0.009    0.015    0.015 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:57(_replay_identities)
    10000    0.004    0.000    0.014    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\graph.py:15(children)
     3335    0.011    0.000    0.012    0.000 {built-in method builtins.sorted}
     3333    0.011    0.000    0.011    0.000 {method 'update' of 'set' objects}
   100025    0.011    0.000    0.011    0.000 {built-in method builtins.isinstance}
    10000    0.007    0.000    0.010    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:78(children)
        1    0.000    0.000    0.009    0.009 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:112(_replay_reputation)
        1    0.000    0.000    0.009    0.009 C:\Users\josep\AppData\Local\Programs\Python\Python313\Lib\collections\__init__.py:599(__init__)
        1    0.000    0.000    0.009    0.009 C:\Users\josep\AppData\Local\Programs\Python\Python313\Lib\collections\__init__.py:673(update)
        1    0.007    0.007    0.009    0.009 {built-in method _collections._count_elements}
    29997    0.007    0.000    0.007    0.000 {method 'setdefault' of 'dict' objects}
    10003    0.004    0.000    0.006    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:358(_store_revision)
    10002    0.004    0.000    0.004    0.000 {built-in method now}
        3    0.002    0.001    0.002    0.001 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:90(all)
        2    0.001    0.001    0.002    0.001 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:225(verify_authorization)


