Sun Aug  2 18:50:31 2026    evidence\experiments\2026-08-02T155030Z_program11_inmemory_profile.prof

         330200 function calls (310187 primitive calls) in 0.422 seconds

   Ordered by: cumulative time
   List reduced from 91 to 30 due to restriction <30>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.008    0.008    0.447    0.447 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:36(run_benchmarks)
        1    0.000    0.000    0.438    0.438 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:48(_benchmark_in_memory)
        1    0.013    0.013    0.438    0.438 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:75(_benchmark_store)
        1    0.001    0.001    0.203    0.203 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:51(replay)
        1    0.062    0.062    0.117    0.117 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:139(_replay_coordination)
        1    0.029    0.029    0.103    0.103 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\benchmark.py:134(_make_seed_records)
        1    0.000    0.000    0.049    0.049 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:73(_replay_workflows)
        1    0.025    0.025    0.049    0.049 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:87(_replay_workflows_direct)
    70005    0.048    0.000    0.048    0.000 {method 'get' of 'dict' objects}
    10000    0.032    0.000    0.045    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:61(append)
    10002    0.014    0.000    0.043    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\record.py:49(__post_init__)
    10001    0.013    0.000    0.037    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:74(verify)
        1    0.011    0.011    0.035    0.035 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\graph.py:29(descendants)
30006/10002    0.027    0.000    0.028    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\record.py:20(_freeze)
    53350    0.027    0.000    0.027    0.000 {method 'append' of 'list' objects}
    10000    0.012    0.000    0.024    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:98(child_ids_view)
        1    0.012    0.012    0.020    0.020 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:67(_replay_identities)
    10000    0.005    0.000    0.018    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\graph.py:15(children)
     3333    0.017    0.000    0.017    0.000 {method 'update' of 'set' objects}
     3333    0.008    0.000    0.016    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:105(child_ids_of_type)
        1    0.000    0.000    0.014    0.014 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:136(_replay_reputation)
        1    0.000    0.000    0.014    0.014 C:\Users\josep\AppData\Local\Programs\Python\Python313\Lib\collections\__init__.py:599(__init__)
        1    0.000    0.000    0.014    0.014 C:\Users\josep\AppData\Local\Programs\Python\Python313\Lib\collections\__init__.py:673(update)
        1    0.011    0.011    0.014    0.014 {built-in method _collections._count_elements}
    10000    0.008    0.000    0.013    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:91(children)
    10003    0.006    0.000    0.009    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:358(_store_revision)
        3    0.007    0.002    0.007    0.002 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\storage.py:112(all)
        2    0.002    0.001    0.006    0.003 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\verifier.py:225(verify_authorization)
    10002    0.004    0.000    0.004    0.000 {built-in method now}
    10001    0.003    0.000    0.003    0.000 C:\Users\josep\OneDrive\Desktop\trs-runtime\runtime\replay.py:137(<genexpr>)


